rdfid,topic_name,Title,Direction,Weight
jConstants4,Constants,ClassConstantInitializationStatement,1,2
jConstants4,Constants,FinalModifier,1,2
jConstants4,Constants,ClassField,1,2
jConstants4,Constants,ConstantInvocation,1,1
jConstants5,Constants,InstanceField,0,1
jConstants5,Constants,VariableInitializationStatement,0,2
jConstants5,Constants,ActualMethodParameter,0,2
jConstants5,Constants,ObjectCreationStatement,0,1
jConstants5,Constants,MultiplyExpression,0,2
jConstants5,Constants,PrivateAccessSpecifier,0,1
jConstants5,Constants,AddExpression,0,2
jConstants5,Constants,ConstructorDefinition,0,0.5
jConstants5,Constants,DoubleDataType,0,4.5
jConstants5,Constants,ObjectVariable,0,1
jConstants5,Constants,ClassDefinition,0,0.5
jConstants5,Constants,ReturnStatement,0,0.5
jConstants5,Constants,SimpleAssignmentExpression,0,6.5
jConstants5,Constants,SubtractExpression,0,0.5
jConstants5,Constants,ExpressionStatement,0,3.5
jConstants5,Constants,MethodDefinition,0,1.5
jConstants5,Constants,ConstructorCall,0,1
jConstants5,Constants,SimpleVariable,0,2
jConstants5,Constants,PublicAccessSpecifier,0,4.5
jConstants5,Constants,FormalMethodParameter,0,1
jConstants5,Constants,ObjectMethodInvocation,0,3
jConstants5,Constants,VoidDataType,0,1
jConstants5,Constants,StaticModifier,1,2
jConstants5,Constants,ClassConstantInitializationStatement,1,2
jConstants5,Constants,FinalModifier,1,2
jConstants5,Constants,ClassField,1,2
jvariable1,Arithmetic_Operations,ExpressionStatement,0,1
jvariable1,Arithmetic_Operations,VariableInitializationStatement,0,1
jvariable1,Arithmetic_Operations,SimpleAssignmentExpression,0,1
jvariable1,Arithmetic_Operations,IntDataType,0,1
jvariable1,Arithmetic_Operations,SimpleVariable,0,1
jvariable1,Arithmetic_Operations,AddAssignmentExpression,1,1
jmath1,Arithmetic_Operations,AddExpression,0,1
jmath1,Arithmetic_Operations,DoubleDataType,0,1
jmath1,Arithmetic_Operations,VariableInitializationStatement,0,1
jmath1,Arithmetic_Operations,SimpleAssignmentExpression,0,1
jmath1,Arithmetic_Operations,SimpleVariable,0,1
jmath1,Arithmetic_Operations,java.lang.Math.sqrt,1,1
jmath2,Arithmetic_Operations,ExpressionStatement,0,1
jmath2,Arithmetic_Operations,VariableInitializationStatement,0,1
jmath2,Arithmetic_Operations,IntDataType,0,1
jmath2,Arithmetic_Operations,SimpleAssignmentExpression,0,1
jmath2,Arithmetic_Operations,ExplicitTypeCasting,0,1
jmath2,Arithmetic_Operations,SimpleVariable,0,1
jmath2,Arithmetic_Operations,java.lang.Math.pow,1,1
joperator1,Arithmetic_Operations,VariableInitializationStatement,0,1
joperator1,Arithmetic_Operations,IntDataType,0,1
joperator1,Arithmetic_Operations,SimpleAssignmentExpression,0,1
joperator1,Arithmetic_Operations,SimpleVariable,0,1
joperator1,Arithmetic_Operations,ModulusExpression,1,1
jincrement,Arithmetic_Operations,SimpleVariable,0,2
jincrement,Arithmetic_Operations,VariableInitializationStatement,0,2
jincrement,Arithmetic_Operations,IntDataType,0,2
jincrement,Arithmetic_Operations,SimpleAssignmentExpression,0,2
jincrement,Arithmetic_Operations,PreIncrementExpression,1,1
jstring1,Strings,StringDataType,0,2
jstring1,Strings,StringInitializationStatement,0,2
jstring1,Strings,java.lang.System.out.print,0,1
jstring1,Strings,StringVariable,0,2
jstring1,Strings,ObjectMethodInvocation,0,1
jstring1,Strings,StringLiteral,0,1
jstring1,Strings,SimpleAssignmentExpression,0,2
jstring1,Strings,ActualMethodParameter,0,1
jstring1,Strings,java.lang.String.substring,1,1
jstring2,Strings,java.lang.String.length,0,1
jstring2,Strings,SimpleVariable,0,1
jstring2,Strings,StringDataType,0,6
jstring2,Strings,StringInitializationStatement,0,5
jstring2,Strings,java.lang.System.out.print,0,1
jstring2,Strings,StringVariable,0,6
jstring2,Strings,ObjectMethodInvocation,0,1
jstring2,Strings,VariableInitializationStatement,0,2
jstring2,Strings,IntDataType,0,1
jstring2,Strings,StringLiteral,0,5
jstring2,Strings,SimpleAssignmentExpression,0,7
jstring3,Strings,StringDataType,0,2
jstring3,Strings,StringInitializationStatement,0,2
jstring3,Strings,java.lang.System.out.print,0,1
jstring3,Strings,StringVariable,0,2
jstring3,Strings,StringLiteral,0,2
jstring3,Strings,SimpleAssignmentExpression,0,2
jstring3,Strings,StringAddition,1,1
jstring4,Strings,SimpleAssignmentExpression,0,2
jstring4,Strings,SimpleVariable,0,1
jstring4,Strings,StringDataType,0,1
jstring4,Strings,StringInitializationStatement,0,1
jstring4,Strings,java.lang.System.out.print,0,1
jstring4,Strings,ObjectMethodInvocation,0,1
jstring4,Strings,VariableInitializationStatement,0,1
jstring4,Strings,StringVariable,0,1
jstring4,Strings,ActualMethodParameter,0,1
jstring4,Strings,StringLiteral,0,1
jstring4,Strings,CharDataType,1,1
jstring4,Strings,java.lang.String.charAt,1,1
jstring5,Strings,ConstructorCall,0,1
jstring5,Strings,ObjectVariable,0,1
jstring5,Strings,SimpleAssignmentExpression,0,2
jstring5,Strings,SimpleVariable,0,1
jstring5,Strings,StringDataType,0,1
jstring5,Strings,ObjectCreationStatement,0,1
jstring5,Strings,StringInitializationStatement,0,1
jstring5,Strings,java.lang.System.out.print,0,1
jstring5,Strings,IntDataType,0,1
jstring5,Strings,VariableInitializationStatement,0,1
jstring5,Strings,StringVariable,0,1
jstring5,Strings,StringAddition,1,1
jstring6,Strings,StringLiteral,0,1
jstring6,Strings,StringDataType,0,1
jstring6,Strings,java.lang.System.out.print,0,1
jstring6,Strings,java.lang.String.substring,1,1
jstring6,Strings,StringLiteralMethodInvocation,1,1
jboolean_var,Boolean_Expressions,VariableInitializationStatement,0,1
jboolean_var,Boolean_Expressions,SimpleAssignmentExpression,0,2
jboolean_var,Boolean_Expressions,ExpressionStatement,0,1
jboolean_var,Boolean_Expressions,GreaterExpression,0,1
jboolean_var,Boolean_Expressions,java.lang.System.out.print,0,1
jboolean_var,Boolean_Expressions,SimpleVariable,0,1
jboolean_var,Boolean_Expressions,IfStatement,0,1
jboolean_var,Boolean_Expressions,True,1,1
jboolean_var,Boolean_Expressions,False,1,1
jboolean_var,Boolean_Expressions,BooleanDataType,1,1
jboolean_method,Boolean_Expressions,IfStatement,0,2
jboolean_method,Boolean_Expressions,StringVariable,0,2
jboolean_method,Boolean_Expressions,PostIncrementExpression,0,1
jboolean_method,Boolean_Expressions,IntDataType,0,1
jboolean_method,Boolean_Expressions,StringLiteral,0,2
jboolean_method,Boolean_Expressions,PostDecrementExpression,0,1
jboolean_method,Boolean_Expressions,ActualMethodParameter,0,1
jboolean_method,Boolean_Expressions,ConstructorCall,0,2
jboolean_method,Boolean_Expressions,VariableInitializationStatement,0,1
jboolean_method,Boolean_Expressions,StringDataType,0,2
jboolean_method,Boolean_Expressions,StringInitializationStatement,0,2
jboolean_method,Boolean_Expressions,SimpleAssignmentExpression,0,3
jboolean_method,Boolean_Expressions,ExpressionStatement,0,2
jboolean_method,Boolean_Expressions,ObjectCreationStatement,0,2
jboolean_method,Boolean_Expressions,SimpleVariable,0,1
jboolean_method,Boolean_Expressions,EqualExpression,1,1
jboolean_method,Boolean_Expressions,java.lang.String.equals,1,1
jboolean_method,Boolean_Expressions,ObjectEquality,1,1
jboolean_operators1,Boolean_Expressions,SimpleVariable,0,1
jboolean_operators1,Boolean_Expressions,IfStatement,0,1
jboolean_operators1,Boolean_Expressions,PostIncrementExpression,0,1
jboolean_operators1,Boolean_Expressions,IntDataType,0,1
jboolean_operators1,Boolean_Expressions,LessExpression,0,1
jboolean_operators1,Boolean_Expressions,StatementBlock,0,1
jboolean_operators1,Boolean_Expressions,VariableInitializationStatement,0,1
jboolean_operators1,Boolean_Expressions,GreaterExpression,0,1
jboolean_operators1,Boolean_Expressions,SimpleAssignmentExpression,0,1
jboolean_operators1,Boolean_Expressions,ExpressionStatement,0,1
jboolean_operators1,Boolean_Expressions,AndExpression,1,1
jboolean_operators2,Boolean_Expressions,IfElseStatement,0,1
jboolean_operators2,Boolean_Expressions,ObjectMethodInvocation,0,5
jboolean_operators2,Boolean_Expressions,SimpleVariable,0,3
jboolean_operators2,Boolean_Expressions,IfStatement,0,1
jboolean_operators2,Boolean_Expressions,InstanceField,0,0.5
jboolean_operators2,Boolean_Expressions,VoidDataType,0,1
jboolean_operators2,Boolean_Expressions,ActualMethodParameter,0,2
jboolean_operators2,Boolean_Expressions,PrivateAccessSpecifier,0,0.5
jboolean_operators2,Boolean_Expressions,SubtractExpression,0,0.5
jboolean_operators2,Boolean_Expressions,ConstructorCall,0,1
jboolean_operators2,Boolean_Expressions,ObjectVariable,0,1
jboolean_operators2,Boolean_Expressions,ConstructorDefinition,0,1
jboolean_operators2,Boolean_Expressions,AddExpression,0,0.5
jboolean_operators2,Boolean_Expressions,FormalMethodParameter,0,1.5
jboolean_operators2,Boolean_Expressions,VariableInitializationStatement,0,3
jboolean_operators2,Boolean_Expressions,ClassDefinition,0,0.5
jboolean_operators2,Boolean_Expressions,InstanceFieldDefinitionStatement,0,0.5
jboolean_operators2,Boolean_Expressions,DoubleDataType,0,2.5
jboolean_operators2,Boolean_Expressions,ReturnStatement,0,0.5
jboolean_operators2,Boolean_Expressions,MethodDefinition,0,1.5
jboolean_operators2,Boolean_Expressions,GreaterExpression,0,1
jboolean_operators2,Boolean_Expressions,PublicAccessSpecifier,0,3
jboolean_operators2,Boolean_Expressions,ObjectCreationStatement,0,1
jboolean_operators2,Boolean_Expressions,SimpleAssignmentExpression,0,6
jboolean_operators2,Boolean_Expressions,ExpressionStatement,0,3
jboolean_operators2,Boolean_Expressions,True,1,1
jboolean_operators2,Boolean_Expressions,False,1,1
jboolean_operators2,Boolean_Expressions,BooleanDataType,1,1
jboolean_operator3,Boolean_Expressions,SimpleAssignmentExpression,0,1
jboolean_operator3,Boolean_Expressions,SimpleVariable,0,1
jboolean_operator3,Boolean_Expressions,IntDataType,0,1
jboolean_operator3,Boolean_Expressions,VariableInitializationStatement,0,1
jboolean_operator3,Boolean_Expressions,java.lang.System.out.print,0,1
jboolean_operator3,Boolean_Expressions,GreaterExpression,0,1
jif_else1,Decisions,SimpleAssignmentExpression,0,1
jif_else1,Decisions,ExpressionStatement,0,1
jif_else1,Decisions,SimpleVariable,0,1
jif_else1,Decisions,IntDataType,0,1
